data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
36;2;1;5;-1049;3000;41;2463;0;4643192
37;2;1;8;-1125;3000;41;2463;0;4643232
38;2;1;-9;-1212;3000;41;2463;0;4643272
39;2;1;4;-1095;3000;41;2463;0;4643322
40;2;1;5;-918;3000;41;2463;0;4643362
41;2;1;-3;-1125;3000;41;2463;0;4643412
42;2;1;-1;-1003;3000;41;2463;0;4643462
43;2;1;2;-1081;3000;41;2463;0;4643522
44;2;1;-4;-1088;3000;41;2463;0;4643592
45;2;1;2;-1175;3000;41;2463;0;4643652
46;2;1;3;-1104;3000;41;2463;0;4643712
47;2;1;1;-1188;3000;41;2463;0;4643752
48;2;1;-4;-1209;3000;41;2463;0;4643792
49;2;1;7;-1262;3000;41;2463;0;4643852
50;2;1;-3;-1068;3000;41;2463;0;4643892
51;2;1;2;-1055;3000;41;2463;0;4643952
52;2;1;-6;-1182;3000;41;2463;0;4643992
53;2;1;2;-1178;3000;41;2463;0;4644032
54;2;1;-5;-1121;3000;41;2463;0;4644092
55;2;1;-1;-1125;3000;41;2463;0;4644132
56;2;1;1;-1028;3000;41;2463;0;4644192
57;2;1;3;-1229;3000;41;2463;0;4644232
58;2;1;3;-1180;3000;41;2463;0;4644272
59;2;1;5;-1091;3000;41;2463;0;4644332
60;2;1;5;-1099;3000;41;2463;0;4644372
61;2;1;-4;-1150;3000;41;2463;0;4644412
62;2;1;-2;-965;3000;41;2463;0;4644472
63;2;1;1;-1095;3000;41;2463;0;4644522
64;2;1;-6;-977;3000;41;2463;0;4644572
65;2;1;-4;-1053;3000;41;2463;0;4644612
66;2;1;1;-861;3000;41;2463;0;4644652
67;2;1;1;-1112;3000;41;2463;0;4644702
68;2;1;3;-1012;3000;41;2463;0;4644752
69;2;1;-7;-1164;3000;41;2463;0;4644792
70;2;1;9;-1074;3000;41;2463;0;4644852
71;2;1;-3;-1147;3000;41;2463;0;4644892
72;2;1;-5;-1166;3000;41;2463;0;4644952
73;2;1;6;-999;3000;41;2463;0;4644992
74;2;1;-4;-1017;3000;41;2463;0;4645032
75;2;1;2;-961;3000;41;2463;0;4645082
76;2;1;5;-900;3000;41;2463;0;4645132
77;2;1;-5;-957;3000;41;2463;0;4645182
78;2;1;-1;-1104;3000;41;2463;0;4645232
79;2;1;-2;-1078;3000;41;2463;0;4645272
80;2;1;1;-1003;3000;41;2463;0;4645322
81;2;1;4;-1087;3000;41;2463;0;4645372
82;2;1;-6;-1134;3000;41;2463;0;4645422
83;2;1;0;-1131;3000;41;2463;0;4645472
84;2;1;-10;-953;3000;41;2463;0;4645512
85;2;1;2;-1176;3000;41;2463;0;4645562
86;2;1;-2;-994;3000;41;2463;0;4645612
87;2;1;4;-1129;3000;41;2463;0;4645662
88;2;1;-2;-989;3000;41;2463;0;4645712
89;2;1;3;-1084;3000;41;2463;0;4645752
90;2;1;-2;-1160;3000;41;2463;0;4645802
91;2;1;-2;-1039;3000;41;2463;0;4645852
92;2;1;-1;-1120;3000;41;2463;0;4645892
93;2;1;5;-1051;3000;41;2463;0;4645942
94;2;1;-6;-992;3000;41;2463;0;4645992
95;2;1;2;-1127;3000;41;2463;0;4646032
96;2;1;4;-1105;3000;41;2463;0;4646082
97;2;1;-2;-1012;3000;41;2463;0;4646132
98;2;1;0;-1094;3000;41;2463;0;4646192
99;2;1;-1;-1111;3000;41;2463;0;4646252
100;2;1;1;-1077;3000;41;2463;0;4646312
101;2;1;2;-1219;3000;41;2463;0;4646382
102;2;1;-1;-1067;3000;41;2463;0;4646422
103;2;1;0;-1036;3000;41;2463;0;4646462
104;2;1;7;-1121;3000;41;2463;0;4646512
105;2;1;3;-1149;3000;41;2463;0;4646562
106;2;1;1;-1299;3000;41;2463;0;4646612
107;2;1;-1;-1063;3000;41;2463;0;4646652
108;2;1;-8;-1037;3000;41;2463;0;4646702
109;2;1;-2;-1045;3000;41;2463;0;4646752
110;2;1;1;-1188;3000;41;2463;0;4646802
111;2;1;-3;-1106;3000;41;2463;0;4646852
112;2;1;-6;-983;3000;41;2463;0;4646902
113;2;1;-2;285;3000;41;2463;0;4646942
114;2;1;7;-1235;3000;41;2463;0;4646992
115;2;1;6;-1236;3000;41;2463;0;4647042
116;2;1;0;-1181;3000;41;2463;0;4647082
117;2;1;1;338;3000;41;2463;0;4647142
118;2;1;4;-1172;3000;41;2463;0;4647182
119;2;1;1;-1097;3000;41;2463;0;4647242
