data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
293;2;1;0;0;3000;41;2463;0;37232
294;2;1;0;0;3000;41;2463;0;37242
295;2;1;0;0;3000;41;2463;0;37252
296;2;1;0;0;3000;41;2463;0;37262
297;2;1;0;0;3000;41;2463;0;37262
298;2;1;0;0;3000;41;2463;0;37272
299;2;1;0;0;3000;41;2463;0;37272
300;2;1;0;0;3000;41;2463;0;37282
301;2;1;0;0;3000;41;2463;0;37302
302;2;1;0;0;3000;41;2463;0;37312
303;2;1;0;0;3000;41;2463;0;37322
304;2;1;0;0;3000;41;2463;0;37322
305;2;1;0;0;3000;41;2463;0;37332
306;2;1;0;0;3000;41;2463;0;37342
307;2;1;0;0;3000;41;2463;0;37352
308;2;1;0;0;3000;41;2463;0;37362
309;2;1;0;0;3000;41;2463;0;37372
310;2;1;0;0;3000;41;2463;0;37372
311;2;1;0;0;3000;41;2463;0;37382
312;2;1;0;0;3000;41;2463;0;37402
313;2;1;0;0;3000;41;2463;0;37402
314;2;1;0;0;3000;41;2463;0;37412
315;2;1;0;0;3000;41;2463;0;37412
316;2;1;0;0;3000;41;2463;0;37422
317;2;1;0;0;3000;41;2463;0;37432
318;2;1;0;0;3000;41;2463;0;37432
319;2;1;0;0;3000;41;2463;0;37442
320;2;1;0;0;3000;41;2463;0;37442
321;2;1;0;0;3000;41;2463;0;37452
322;2;1;0;0;3000;41;2463;0;37452
323;2;1;0;0;3000;41;2463;0;37462
324;2;1;0;0;3000;41;2463;0;37462
325;2;1;0;0;3000;41;2463;0;37472
326;2;1;0;0;3000;41;2463;0;37472
327;2;1;0;0;3000;41;2463;0;37482
328;2;1;0;0;3000;41;2463;0;37502
329;2;1;0;0;3000;41;2463;0;37502
330;2;1;0;0;3000;41;2463;0;37512
331;2;1;0;0;3000;41;2463;0;37522
332;2;1;0;0;3000;41;2463;0;37532
333;2;1;0;0;3000;41;2463;0;37532
334;2;1;0;0;3000;41;2463;0;37542
335;2;1;0;0;3000;41;2463;0;37552
336;2;1;0;0;3000;41;2463;0;37562
337;2;1;0;0;3000;41;2463;0;37562
338;2;1;0;0;3000;41;2463;0;37582
339;2;1;0;0;3000;41;2463;0;37582
340;2;1;0;0;3000;41;2463;0;37592
341;2;1;0;0;3000;41;2463;0;37612
342;2;1;0;0;3000;41;2463;0;37612
343;2;1;0;0;3000;41;2463;0;37622
344;2;1;0;0;3000;41;2463;0;37622
345;2;1;0;0;3000;41;2463;0;37632
346;2;1;0;0;3000;41;2463;0;37642
347;2;1;0;0;3000;41;2463;0;37652
348;2;1;0;0;3000;41;2463;0;37652
349;2;1;0;0;3000;41;2463;0;37662
350;2;1;0;0;3000;41;2463;0;37672
351;2;1;0;0;3000;41;2463;0;37682
352;2;1;0;0;3000;41;2463;0;37682
353;2;1;0;0;3000;41;2463;0;37702
354;2;1;0;0;3000;41;2463;0;37712
355;2;1;0;0;3000;41;2463;0;37712
356;2;1;0;0;3000;41;2463;0;37732
357;2;1;0;0;3000;41;2463;0;37732
358;2;1;0;0;3000;41;2463;0;37752
359;2;1;0;0;3000;41;2463;0;37752
360;2;1;0;0;3000;41;2463;0;37772
361;2;1;0;0;3000;41;2463;0;37772
362;2;1;0;0;3000;41;2463;0;37792
363;2;1;0;0;3000;41;2463;0;37812
364;2;1;0;0;3000;41;2463;0;37812
365;2;1;0;0;3000;41;2463;0;37822
366;2;1;0;0;3000;41;2463;0;37822
367;2;1;0;0;3000;41;2463;0;37832
368;2;1;0;0;3000;41;2463;0;37842
369;2;1;0;0;3000;41;2463;0;37852
370;2;1;0;0;3000;41;2463;0;37852
371;2;1;0;0;3000;41;2463;0;37872
372;2;1;0;0;3000;41;2463;0;37872
373;2;1;0;0;3000;41;2463;0;37892
374;2;1;0;0;3000;41;2463;0;37912
375;2;1;0;0;3000;41;2463;0;37912
376;2;1;0;0;3000;41;2463;0;37922
377;2;1;0;0;3000;41;2463;0;37922
378;2;1;0;0;3000;41;2463;0;37942
379;2;1;0;0;3000;41;2463;0;37942
380;2;1;0;0;3000;41;2463;0;37952
381;2;1;0;0;3000;41;2463;0;37962
382;2;1;0;0;3000;41;2463;0;37972
383;2;1;0;0;3000;41;2463;0;37972
384;2;1;0;0;3000;41;2463;0;37982
385;2;1;0;0;3000;41;2463;0;38022
386;2;1;0;0;3000;41;2463;0;38032
387;2;1;0;0;3000;41;2463;0;38032
